F11,F22,F33,F12,F13,F23,F21,F31,F32,elVol
0.899620,1.235513,0.899620,0.147992,-0.001234,-0.084932,-0.084932,-0.001234,0.147992,-0.000125
0.906744,1.217186,0.906744,0.121134,-0.000855,-0.072766,-0.072766,-0.000855,0.121134,-0.000125
0.921630,1.181302,0.921630,0.104316,0.000134,-0.060417,-0.060417,0.000134,0.104316,-0.000125
0.936913,1.146184,0.936913,0.079963,0.002481,-0.041060,-0.041060,0.002481,0.079963,-0.000125
0.947124,1.122250,0.947124,0.042852,0.005153,-0.015849,-0.015849,0.005153,0.042852,-0.000125
0.973369,1.071310,0.973369,-0.050667,0.003098,-0.000964,-0.000964,0.003098,-0.050667,-0.000125
0.972644,1.105872,0.953027,0.204160,-0.008304,0.001763,-0.009692,-0.000248,-0.113993,-0.000125
0.931037,1.184606,0.915993,0.196868,-0.015629,-0.014501,-0.035530,-0.000338,0.052148,-0.000125
0.916713,1.192148,0.918482,0.168708,-0.011803,-0.048524,-0.051909,-0.001328,0.104257,-0.000125
0.913034,1.203007,0.911487,0.158870,-0.004713,-0.074117,-0.047414,-0.006126,0.133620,-0.000125
0.911340,1.211853,0.906163,0.143137,0.003659,-0.088153,-0.034486,-0.014797,0.147789,-0.000125
0.911291,1.214569,0.905300,0.116374,0.013015,-0.098070,-0.015223,-0.024919,0.164326,-0.000125
0.918467,1.237962,0.883503,0.046986,0.014303,-0.086680,-0.002057,-0.031640,0.186269,-0.000125
0.963802,1.149984,0.928394,-0.035104,0.005182,-0.034905,0.000024,-0.016630,0.325585,-0.000125
0.966759,1.105331,0.964810,0.220738,-0.008274,-0.001223,-0.009748,-0.001909,-0.031831,-0.000125
0.919146,1.204420,0.920193,0.198611,-0.019270,-0.004233,-0.036168,-0.003106,0.051636,-0.000125
0.907508,1.219589,0.911495,0.162143,-0.018274,-0.017465,-0.053301,-0.002565,0.110979,-0.000125
0.907992,1.220660,0.908982,0.151318,-0.011247,-0.036967,-0.049392,-0.005335,0.136405,-0.000125
0.908982,1.220660,0.907992,0.136405,-0.005335,-0.049392,-0.036967,-0.011247,0.151318,-0.000125
0.911495,1.219589,0.907508,0.110979,-0.002565,-0.053301,-0.017465,-0.018274,0.162143,-0.000125
0.920193,1.204420,0.919146,0.051636,-0.003106,-0.036168,-0.004233,-0.019270,0.198611,-0.000125
0.964810,1.105331,0.966759,-0.031831,-0.001909,-0.009748,-0.001223,-0.008274,0.220738,-0.000125
0.961877,1.106679,0.972185,0.236353,-0.007341,-0.000125,-0.009456,-0.002010,0.031174,-0.000125
0.909608,1.207780,0.930084,0.202449,-0.015797,-0.001823,-0.035989,-0.002714,0.075349,-0.000125
0.900150,1.235131,0.911070,0.156791,-0.015278,-0.007493,-0.053294,-0.001662,0.114979,-0.000125
0.903885,1.234183,0.906730,0.145236,-0.010872,-0.017057,-0.048985,-0.003408,0.139258,-0.000125
0.907244,1.227739,0.908097,0.132158,-0.006454,-0.025233,-0.036217,-0.006943,0.148089,-0.000125
0.911015,1.215910,0.915958,0.110197,-0.004197,-0.024724,-0.016714,-0.010597,0.157994,-0.000125
0.920962,1.181452,0.939159,0.051686,-0.002923,-0.015210,-0.004294,-0.009720,0.167921,-0.000125
0.965724,1.091126,0.977738,-0.034870,-0.001131,-0.004457,-0.001572,-0.003617,0.165235,-0.000125
0.959019,1.107700,0.975805,0.248023,-0.004329,-0.000896,-0.009357,-0.001437,0.083184,-0.000125
0.903652,1.210504,0.935767,0.204659,-0.009753,-0.002943,-0.035730,-0.001641,0.105478,-0.000125
0.895052,1.241588,0.913123,0.153660,-0.009351,-0.006454,-0.052783,-0.000513,0.126508,-0.000125
0.901063,1.241792,0.905753,0.140455,-0.005845,-0.010956,-0.048115,-0.001458,0.139438,-0.000125
0.906279,1.230810,0.908730,0.128770,-0.002094,-0.013460,-0.035065,-0.003151,0.143565,-0.000125
0.911592,1.210678,0.920994,0.108354,0.000880,-0.011809,-0.016090,-0.004536,0.142394,-0.000125
0.922936,1.171928,0.945282,0.050790,0.002346,-0.006567,-0.004569,-0.003310,0.136033,-0.000125
0.966979,1.085000,0.980426,-0.034711,0.001291,-0.001669,-0.001839,-0.000776,0.123400,-0.000125
0.957424,1.110297,0.976310,0.254207,-0.001855,-0.001702,-0.009326,-0.001138,0.131070,-0.000125
0.900656,1.215136,0.935868,0.205467,-0.003423,-0.006885,-0.035702,-0.000445,0.138073,-0.000125
0.892911,1.246055,0.912115,0.151105,-0.002079,-0.012472,-0.052483,0.000997,0.140309,-0.000125
0.900337,1.243785,0.905109,0.136765,0.000660,-0.014431,-0.047481,0.000423,0.140013,-0.000125
0.907041,1.229295,0.909206,0.125121,0.004248,-0.012406,-0.034614,0.000162,0.135916,-0.000125
0.913922,1.206288,0.921901,0.105639,0.007639,-0.008151,-0.016293,0.000300,0.125085,-0.000125
0.926206,1.166931,0.945128,0.051327,0.008351,-0.004006,-0.004969,0.001395,0.105827,-0.000125
0.968667,1.082212,0.979882,-0.029631,0.003789,-0.001119,-0.001917,0.001139,0.083707,-0.000125
0.957000,1.116847,0.972158,0.254964,0.001098,-0.004847,-0.009613,-0.000079,0.182602,-0.000125
0.900483,1.225571,0.927071,0.204843,0.002532,-0.016649,-0.036214,0.001772,0.172070,-0.000125
0.893757,1.251245,0.905777,0.148965,0.003952,-0.026688,-0.052435,0.003191,0.151359,-0.000125
0.901823,1.240791,0.904252,0.134379,0.005739,-0.026925,-0.047127,0.002679,0.137495,-0.000125
0.909550,1.222849,0.910246,0.121220,0.008438,-0.019509,-0.034956,0.003434,0.128342,-0.000125
0.918105,1.199895,0.921286,0.102167,0.012421,-0.010924,-0.017449,0.005148,0.108924,-0.000125
0.930953,1.162563,0.942180,0.053169,0.013338,-0.004308,-0.005782,0.006533,0.077866,-0.000125
0.970848,1.080238,0.977753,-0.019707,0.006134,-0.000854,-0.001995,0.003479,0.041342,-0.000125
0.957923,1.132004,0.957923,0.252521,0.001346,-0.010310,-0.010310,0.001346,0.252521,-0.000125
0.903344,1.248903,0.903344,0.201818,0.005380,-0.036997,-0.036997,0.005379,0.201818,-0.000125
0.896826,1.253096,0.896826,0.149423,0.006527,-0.052141,-0.052141,0.006527,0.149423,-0.000125
0.904409,1.233852,0.904409,0.133373,0.005289,-0.046816,-0.046816,0.005289,0.133373,-0.000125
0.912978,1.211185,0.912978,0.117901,0.006914,-0.035629,-0.035629,0.006914,0.117901,-0.000125
0.923457,1.186732,0.923457,0.097847,0.010571,-0.019387,-0.019387,0.010571,0.097847,-0.000125
0.937560,1.157006,0.937560,0.053946,0.013196,-0.007283,-0.007283,0.013196,0.053946,-0.000125
0.974077,1.077221,0.974077,-0.006828,0.006745,-0.002163,-0.002163,0.006745,-0.006828,-0.000125
0.959242,1.174392,0.918211,0.247063,0.004113,-0.032077,-0.011034,0.005481,0.376387,-0.000125
0.905954,1.279245,0.868187,0.205408,0.001947,-0.078120,-0.037243,0.010683,0.182554,-0.000125
0.899108,1.244378,0.897070,0.150601,-0.003968,-0.084600,-0.051437,0.008626,0.146322,-0.000125
0.906778,1.225478,0.904112,0.133319,-0.003853,-0.072832,-0.046446,0.007292,0.121849,-0.000125
0.916257,1.196193,0.917858,0.116496,-0.004020,-0.060653,-0.035613,0.009811,0.107110,-0.000125
0.928779,1.165679,0.931347,0.095587,-0.004012,-0.040851,-0.020585,0.014966,0.084670,-0.000125
0.944490,1.139592,0.938607,0.053148,-0.003581,-0.014488,-0.008959,0.019909,0.045760,-0.000125
0.977586,1.075043,0.968099,-0.001622,-0.001538,-0.000015,-0.002769,0.010887,-0.064652,-0.000125
0.980478,1.091545,0.956453,0.157282,-0.004337,0.001990,-0.004635,0.001548,-0.112693,-0.000125
0.944803,1.162870,0.921395,0.166464,-0.007643,-0.013451,-0.014859,0.000480,0.049689,-0.000125
0.920942,1.189433,0.921259,0.160927,-0.005291,-0.046090,-0.022930,-0.003135,0.102111,-0.000125
0.910951,1.210526,0.912121,0.152981,-0.001120,-0.070277,-0.022620,-0.006767,0.127336,-0.000125
0.907314,1.225532,0.904212,0.143696,0.004674,-0.083374,-0.014352,-0.013379,0.138789,-0.000125
0.909757,1.229190,0.900363,0.118210,0.010597,-0.093658,-0.005315,-0.020928,0.155655,-0.000125
0.929230,1.240843,0.873494,0.071799,0.011331,-0.083841,-0.000981,-0.022972,0.186175,-0.000125
0.972452,1.150063,0.921538,0.028641,0.004544,-0.033928,-0.000103,-0.010724,0.352938,-0.000125
0.977738,1.091126,0.965724,0.165235,-0.003617,-0.001572,-0.004457,-0.001131,-0.034870,-0.000125
0.939159,1.181452,0.920962,0.167921,-0.009720,-0.004294,-0.015210,-0.002923,0.051686,-0.000125
0.915958,1.215910,0.911015,0.157994,-0.010597,-0.016714,-0.024724,-0.004197,0.110197,-0.000125
0.908097,1.227739,0.907244,0.148089,-0.006943,-0.036217,-0.025233,-0.006454,0.132158,-0.000125
0.906730,1.234183,0.903885,0.139258,-0.003408,-0.048985,-0.017057,-0.010872,0.145236,-0.000125
0.911070,1.235131,0.900150,0.114979,-0.001662,-0.053294,-0.007493,-0.015278,0.156791,-0.000125
0.930084,1.207780,0.909608,0.075349,-0.002714,-0.035989,-0.001823,-0.015797,0.202449,-0.000125
0.972185,1.106679,0.961877,0.031174,-0.002010,-0.009456,-0.000125,-0.007341,0.236353,-0.000125
